Signal Legend:

Key        Signal Name

0        = IM0
1        = LCD_CSn
2        = LCD_D_Cn
3        = LCD_RDn
4        = LCD_RESETn
5        = LCD_WRn
6        = LCD_DATA[15..0]

Data Table:

Signals-> 0 1 2 3 4 5 6     

sample

-2048     0 0 0 1 1 1 0000h 
-2047     0 0 0 1 1 1 0000h 
-2046     0 0 0 1 1 1 0000h 
-2045     0 0 0 1 1 1 0000h 
-2044     0 0 0 1 1 1 0000h 
-2043     0 0 0 1 1 1 0000h 
-2042     0 0 0 1 1 1 0000h 
-2041     0 0 0 1 1 1 0000h 
-2040     0 0 0 1 1 1 0000h 
-2039     0 0 0 1 1 1 0000h 
-2038     0 0 0 1 1 1 0000h 
-2037     0 0 0 1 1 1 0000h 
-2036     0 0 0 1 1 1 0000h 
-2035     0 0 0 1 1 1 0000h 
-2034     0 0 0 1 1 1 0000h 
-2033     0 0 0 1 1 1 0000h 
-2032     0 0 0 1 1 1 0000h 
-2031     0 0 0 1 1 1 0000h 
-2030     0 0 0 1 1 1 0000h 
-2029     0 0 0 1 1 1 0000h 
-2028     0 0 0 1 1 1 0000h 
-2027     0 0 0 1 1 1 0000h 
-2026     0 0 0 1 1 1 0000h 
-2025     0 0 0 1 1 1 0000h 
-2024     0 0 0 1 1 1 0000h 
-2023     0 0 0 1 1 1 0000h 
-2022     0 0 0 1 1 1 0000h 
-2021     0 0 0 1 1 1 0000h 
-2020     0 0 0 1 1 1 0000h 
-2019     0 0 0 1 1 1 0000h 
-2018     0 0 0 1 1 1 0000h 
-2017     0 0 0 1 1 1 0000h 
-2016     0 0 0 1 1 1 0000h 
-2015     0 0 0 1 1 1 0000h 
-2014     0 0 0 1 1 1 0000h 
-2013     0 0 0 1 1 1 0000h 
-2012     0 0 0 1 1 1 0000h 
-2011     0 0 0 1 1 1 0000h 
-2010     0 0 0 1 1 1 0000h 
-2009     0 0 0 1 1 1 0000h 
-2008     0 0 0 1 1 1 0000h 
-2007     0 0 0 1 1 1 0000h 
-2006     0 0 0 1 1 1 0000h 
-2005     0 0 0 1 1 1 0000h 
-2004     0 0 0 1 1 1 0000h 
-2003     0 0 0 1 1 1 0000h 
-2002     0 0 0 1 1 1 0000h 
-2001     0 0 0 1 1 1 0000h 
-2000     0 0 0 1 1 1 0000h 
-1999     0 0 0 1 1 1 0000h 
-1998     0 0 0 1 1 1 0000h 
-1997     0 0 0 1 1 1 0000h 
-1996     0 0 0 1 1 1 0000h 
-1995     0 0 0 1 1 1 0000h 
-1994     0 0 0 1 1 1 0000h 
-1993     0 0 0 1 1 1 0000h 
-1992     0 0 0 1 1 1 0000h 
-1991     0 0 0 1 1 1 0000h 
-1990     0 0 0 1 1 1 0000h 
-1989     0 0 0 1 1 1 0000h 
-1988     0 0 0 1 1 1 0000h 
-1987     0 0 0 1 1 1 0000h 
-1986     0 0 0 1 1 1 0000h 
-1985     0 0 0 1 1 1 0000h 
-1984     0 0 0 1 1 1 0000h 
-1983     0 0 0 1 1 1 0000h 
-1982     0 0 0 1 1 1 0000h 
-1981     0 0 0 1 1 1 0000h 
-1980     0 0 0 1 1 1 0000h 
-1979     0 0 0 1 1 1 0000h 
-1978     0 0 0 1 1 1 0000h 
-1977     0 0 0 1 1 1 0000h 
-1976     0 0 0 1 1 1 0000h 
-1975     0 0 0 1 1 1 0000h 
-1974     0 0 0 1 1 1 0000h 
-1973     0 0 0 1 1 1 0000h 
-1972     0 0 0 1 1 1 0000h 
-1971     0 0 0 1 1 1 0000h 
-1970     0 0 0 1 1 1 0000h 
-1969     0 0 0 1 1 1 0000h 
-1968     0 0 0 1 1 1 0000h 
-1967     0 0 0 1 1 1 0000h 
-1966     0 0 0 1 1 1 0000h 
-1965     0 0 0 1 1 1 0000h 
-1964     0 0 0 1 1 1 0000h 
-1963     0 0 0 1 1 1 0000h 
-1962     0 0 0 1 1 1 0000h 
-1961     0 0 0 1 1 1 0000h 
-1960     0 0 0 1 1 1 0000h 
-1959     0 0 0 1 1 1 0000h 
-1958     0 0 0 1 1 1 0000h 
-1957     0 0 0 1 1 1 0000h 
-1956     0 0 0 1 1 1 0000h 
-1955     0 0 0 1 1 1 0000h 
-1954     0 0 0 1 1 1 0000h 
-1953     0 0 0 1 1 1 0000h 
-1952     0 0 0 1 1 1 0000h 
-1951     0 0 0 1 1 1 0000h 
-1950     0 0 0 1 1 1 0000h 
-1949     0 0 0 1 1 1 0000h 
-1948     0 0 0 1 1 1 0000h 
-1947     0 0 0 1 1 1 0000h 
-1946     0 0 0 1 1 1 0000h 
-1945     0 0 0 1 1 1 0000h 
-1944     0 0 0 1 1 1 0000h 
-1943     0 0 0 1 1 1 0000h 
-1942     0 0 0 1 1 1 0000h 
-1941     0 0 0 1 1 1 0000h 
-1940     0 0 0 1 1 1 0000h 
-1939     0 0 0 1 1 1 0000h 
-1938     0 0 0 1 1 1 0000h 
-1937     0 0 0 1 1 1 0000h 
-1936     0 0 0 1 1 1 0000h 
-1935     0 0 0 1 1 1 0000h 
-1934     0 0 0 1 1 1 0000h 
-1933     0 0 0 1 1 1 0000h 
-1932     0 0 0 1 1 1 0000h 
-1931     0 0 0 1 1 1 0000h 
-1930     0 0 0 1 1 1 0000h 
-1929     0 0 0 1 1 1 0000h 
-1928     0 0 0 1 1 1 0000h 
-1927     0 0 0 1 1 1 0000h 
-1926     0 0 0 1 1 1 0000h 
-1925     0 0 0 1 1 1 0000h 
-1924     0 0 0 1 1 1 0000h 
-1923     0 0 0 1 1 1 0000h 
-1922     0 0 0 1 1 1 0000h 
-1921     0 0 0 1 1 1 0000h 
-1920     0 0 0 1 1 1 0000h 
-1919     0 0 0 1 1 1 0000h 
-1918     0 0 0 1 1 1 0000h 
-1917     0 0 0 1 1 1 0000h 
-1916     0 0 0 1 1 1 0000h 
-1915     0 0 0 1 1 1 0000h 
-1914     0 0 0 1 1 1 0000h 
-1913     0 0 0 1 1 1 0000h 
-1912     0 0 0 1 1 1 0000h 
-1911     0 0 0 1 1 1 0000h 
-1910     0 0 0 1 1 1 0000h 
-1909     0 0 0 1 1 1 0000h 
-1908     0 0 0 1 1 1 0000h 
-1907     0 0 0 1 1 1 0000h 
-1906     0 0 0 1 1 1 0000h 
-1905     0 0 0 1 1 1 0000h 
-1904     0 0 0 1 1 1 0000h 
-1903     0 0 0 1 1 1 0000h 
-1902     0 0 0 1 1 1 0000h 
-1901     0 0 0 1 1 1 0000h 
-1900     0 0 0 1 1 1 0000h 
-1899     0 0 0 1 1 1 0000h 
-1898     0 0 0 1 1 1 0000h 
-1897     0 0 0 1 1 1 0000h 
-1896     0 0 0 1 1 1 0000h 
-1895     0 0 0 1 1 1 0000h 
-1894     0 0 0 1 1 1 0000h 
-1893     0 0 0 1 1 1 0000h 
-1892     0 0 0 1 1 1 0000h 
-1891     0 0 0 1 1 1 0000h 
-1890     0 0 0 1 1 1 0000h 
-1889     0 0 0 1 1 1 0000h 
-1888     0 0 0 1 1 1 0000h 
-1887     0 0 0 1 1 1 0000h 
-1886     0 0 0 1 1 1 0000h 
-1885     0 0 0 1 1 1 0000h 
-1884     0 0 0 1 1 1 0000h 
-1883     0 0 0 1 1 1 0000h 
-1882     0 0 0 1 1 1 0000h 
-1881     0 0 0 1 1 1 0000h 
-1880     0 0 0 1 1 1 0000h 
-1879     0 0 0 1 1 1 0000h 
-1878     0 0 0 1 1 1 0000h 
-1877     0 0 0 1 1 1 0000h 
-1876     0 0 0 1 1 1 0000h 
-1875     0 0 0 1 1 1 0000h 
-1874     0 0 0 1 1 1 0000h 
-1873     0 0 0 1 1 1 0000h 
-1872     0 0 0 1 1 1 0000h 
-1871     0 0 0 1 1 1 0000h 
-1870     0 0 0 1 1 1 0000h 
-1869     0 0 0 1 1 1 0000h 
-1868     0 0 0 1 1 1 0000h 
-1867     0 0 0 1 1 1 0000h 
-1866     0 0 0 1 1 1 0000h 
-1865     0 0 0 1 1 1 0000h 
-1864     0 0 0 1 1 1 0000h 
-1863     0 0 0 1 1 1 0000h 
-1862     0 0 0 1 1 1 0000h 
-1861     0 0 0 1 1 1 0000h 
-1860     0 0 0 1 1 1 0000h 
-1859     0 0 0 1 1 1 0000h 
-1858     0 0 0 1 1 1 0000h 
-1857     0 0 0 1 1 1 0000h 
-1856     0 0 0 1 1 1 0000h 
-1855     0 0 0 1 1 1 0000h 
-1854     0 0 0 1 1 1 0000h 
-1853     0 0 0 1 1 1 0000h 
-1852     0 0 0 1 1 1 0000h 
-1851     0 0 0 1 1 1 0000h 
-1850     0 0 0 1 1 1 0000h 
-1849     0 0 0 1 1 1 0000h 
-1848     0 0 0 1 1 1 0000h 
-1847     0 0 0 1 1 1 0000h 
-1846     0 0 0 1 1 1 0000h 
-1845     0 0 0 1 1 1 0000h 
-1844     0 0 0 1 1 1 0000h 
-1843     0 0 0 1 1 1 0000h 
-1842     0 0 0 1 1 1 0000h 
-1841     0 0 0 1 1 1 0000h 
-1840     0 0 0 1 1 1 0000h 
-1839     0 0 0 1 1 1 0000h 
-1838     0 0 0 1 1 1 0000h 
-1837     0 0 0 1 1 1 0000h 
-1836     0 0 0 1 1 1 0000h 
-1835     0 0 0 1 1 1 0000h 
-1834     0 0 0 1 1 1 0000h 
-1833     0 0 0 1 1 1 0000h 
-1832     0 0 0 1 1 1 0000h 
-1831     0 0 0 1 1 1 0000h 
-1830     0 0 0 1 1 1 0000h 
-1829     0 0 0 1 1 1 0000h 
-1828     0 0 0 1 1 1 0000h 
-1827     0 0 0 1 1 1 0000h 
-1826     0 0 0 1 1 1 0000h 
-1825     0 0 0 1 1 1 0000h 
